"LBSV" "Res.Thresh.Dif" "correlation" "mean" "delta.mean"
"1" 3e+05 -4 0.774693071842194 0.318401727861771 -0.201157667386609
"2" 322500 -4 0.791788995265961 0.326544276457883 -0.193015118790497
"3" 345000 -4 0.803889453411102 0.333727861771058 -0.185831533477322
"4" 367500 -4 0.803339660167694 0.34066090712743 -0.17889848812095
"5" 390000 -4 0.804032564163208 0.347987041036717 -0.171572354211663
"6" 412500 -4 0.797994434833527 0.353809935205184 -0.165749460043197
"7" 435000 -4 0.792283833026886 0.360548596112311 -0.159010799136069
"8" 457500 -4 0.783380091190338 0.366717062634989 -0.152842332613391
"9" 480000 -4 0.776294410228729 0.371749460043197 -0.147809935205184
"10" 502500 -4 0.768253207206726 0.377896328293736 -0.141663066954644
"11" 525000 -4 0.757346332073212 0.383524838012959 -0.136034557235421
"12" 547500 -4 0.748398244380951 0.388453563714903 -0.131105831533477
"13" 570000 -4 0.74018383026123 0.392920086393089 -0.126639308855292
"14" 592500 -4 0.728533387184143 0.39741252699784 -0.12214686825054
"15" 615000 -4 0.71540504693985 0.401805615550756 -0.117753779697624
"16" 637500 -4 0.707690536975861 0.405282937365011 -0.114276457883369
"17" 660000 -4 0.700957536697388 0.408259179265659 -0.111300215982721
"18" 682500 -4 0.698480606079102 0.410462203023758 -0.109097192224622
"19" 705000 -4 0.691554367542267 0.413157667386609 -0.106401727861771
"20" 727500 -4 0.687394559383392 0.415533477321814 -0.104025917926566
"21" 750000 -4 0.686325132846832 0.417498920086393 -0.102060475161987
"22" 772500 -4 0.683633387088776 0.419719222462203 -0.0998401727861771
"23" 795000 -4 0.680834233760834 0.42170626349892 -0.09785313174946
"24" 817500 -4 0.678661942481995 0.423684665226782 -0.0958747300215983
"25" 840000 -4 0.674711883068085 0.425269978401728 -0.0942894168466523
"26" 862500 -4 0.671324193477631 0.426626349892009 -0.0929330453563715
"27" 885000 -4 0.668927311897278 0.427861771058315 -0.0916976241900648
"28" 907500 -4 0.666814565658569 0.429088552915767 -0.0904708423326134
"29" 930000 -4 0.663630187511444 0.430406047516199 -0.0891533477321814
"30" 952500 -4 0.66307532787323 0.431330453563715 -0.0882289416846652
"31" 975000 -4 0.663201510906219 0.432302375809935 -0.0872570194384449
"32" 997500 -4 0.661284685134888 0.433218142548596 -0.086341252699784
"33" 1020000 -4 0.660449147224426 0.43407343412527 -0.0854859611231101
"34" 1042500 -4 0.659866034984589 0.434984881209503 -0.0845745140388769
"35" 1065000 -4 0.65813809633255 0.435568034557235 -0.0839913606911447
"36" 1087500 -4 0.657700181007385 0.436060475161987 -0.0834989200863931
"37" 1110000 -4 0.656962692737579 0.436388768898488 -0.083170626349892
"38" 1132500 -4 0.65612381696701 0.436708423326134 -0.0828509719222462
"39" 1155000 -4 0.65557587146759 0.436989200863931 -0.0825701943844492
"40" 1177500 -4 0.654642164707184 0.437300215982721 -0.0822591792656587
"41" 1200000 -4 0.654434382915497 0.437429805615551 -0.0821295896328294
"42" 3e+05 -3.15 0.782459616661072 0.331416846652268 -0.188142548596112
"43" 322500 -3.15 0.80567067861557 0.340215982721382 -0.179343412526998
"44" 345000 -3.15 0.821510910987854 0.348142548596112 -0.171416846652268
"45" 367500 -3.15 0.825982689857483 0.355796976241901 -0.163762419006479
"46" 390000 -3.15 0.8313929438591 0.363939524838013 -0.155619870410367
"47" 412500 -3.15 0.830884158611298 0.370224622030238 -0.149334773218143
"48" 435000 -3.15 0.827058017253876 0.377529157667387 -0.142030237580994
"49" 457500 -3.15 0.821293711662292 0.384246220302376 -0.135313174946004
"50" 480000 -3.15 0.814747452735901 0.389749460043197 -0.129809935205184
"51" 502500 -3.15 0.807642996311188 0.396470842332613 -0.123088552915767
"52" 525000 -3.15 0.794903576374054 0.402501079913607 -0.117058315334773
"53" 547500 -3.15 0.784585416316986 0.407796976241901 -0.111762419006479
"54" 570000 -3.15 0.774386346340179 0.412522678185745 -0.107036717062635
"55" 592500 -3.15 0.761235535144806 0.417343412526998 -0.102215982721382
"56" 615000 -3.15 0.746931374073029 0.422034557235421 -0.097524838012959
"57" 637500 -3.15 0.73860114812851 0.425818574514039 -0.0937408207343413
"58" 660000 -3.15 0.731290519237518 0.429032397408207 -0.0905269978401728
"59" 682500 -3.15 0.72831779718399 0.431477321814255 -0.0880820734341253
"60" 705000 -3.15 0.721256971359253 0.434401727861771 -0.0851576673866091
"61" 727500 -3.15 0.717191994190216 0.437105831533477 -0.0824535637149028
"62" 750000 -3.15 0.715843498706818 0.439377969762419 -0.0801814254859611
"63" 772500 -3.15 0.711746156215668 0.441896328293736 -0.0776630669546436
"64" 795000 -3.15 0.708614706993103 0.444064794816415 -0.0754946004319654
"65" 817500 -3.15 0.705711543560028 0.446129589632829 -0.0734298056155507
"66" 840000 -3.15 0.701785385608673 0.447788336933045 -0.0717710583153348
"67" 862500 -3.15 0.697166562080383 0.449226781857451 -0.0703326133909287
"68" 885000 -3.15 0.6933473944664 0.450570194384449 -0.0689892008639309
"69" 907500 -3.15 0.691116452217102 0.451913606911447 -0.067645788336933
