"DV" "baseline"
"399" 192 211
"400" 123 108
"401" 6 8
"402" 94 129
"403" 378 153
"404" 156 125
"405" 8 15
"406" 10 164
"407" 116 146
"408" 341 289
"409" 370 181
"410" 390 380
"411" 463 54
"412" 107 174
"413" 72 55
"414" 142 387
"415" 227 188
"416" 371 186
"417" 165 400
"418" 157 47
"419" 24 457
"420" 146 219
"421" 149 122
"422" 211 296
"423" 395 88
"424" 118 138
"425" 153 136
"426" 180 26
"427" 183 434
"428" 230 310
"429" 234 360
"430" 9 160
"431" 11 299
"432" 58 275
"433" 90 298
"434" 96 365
"435" 201 297
"436" 229 404
"437" 260 255
"438" 331 220
"439" 347 356
"440" 349 69
"441" 356 392
"442" 417 428
"443" 47 354
"444" 203 337
"445" 29 320
"446" 102 85
"447" 136 118
"448" 428 249
"449" 92 96
"450" 161 405
"451" 114 423
"452" 143 224
"453" 262 444
"454" 122 216
"455" 181 52
"456" 88 238
"457" 328 399
"458" 408 10
"459" 278 105
"460" 351 214
"461" 456 411
"462" 71 247
"463" 391 16
