"Mead.1000" "Powell.3490" "correlation" "mean" "delta.mean"
"105" 22 2 0.943541586399078 0.599386609071274 0.0298315334773218
"106" 23 2 0.945513665676117 0.603313174946004 0.0337580993520519
"107" 24 2 0.942528903484344 0.60651403887689 0.0369589632829374
"108" 25 2 0.9364093542099 0.610609071274298 0.0410539956803456
"109" 26 2 0.933193147182465 0.614177105831534 0.044622030237581
"110" 27 2 0.928556501865387 0.617874730021598 0.0483196544276459
"111" 28 2 0.926028490066528 0.621308855291577 0.0517537796976242
"112" 29 2 0.924012660980225 0.625244060475162 0.0556889848812095
"113" 30 2 0.924540340900421 0.628431965442765 0.0588768898488121
"114" 31 2 0.925176680088043 0.631654427645788 0.0620993520518359
"115" 32 2 0.924177467823029 0.634431965442765 0.0648768898488121
"116" 33 2 0.92054295539856 0.637732181425486 0.0681771058315335
"117" 34 2 0.918078482151031 0.640466522678186 0.0709114470842332
"118" 35 2 0.918592095375061 0.643511879049676 0.0739568034557235
"119" 36 2 0.916177451610565 0.647049676025918 0.0774946004319654
"120" 37 2 0.915727555751801 0.650280777537797 0.0807257019438445
"121" 38 2 0.912776529788971 0.652863930885529 0.0833088552915767
"122" 39 2 0.912348985671997 0.655032397408207 0.0854773218142548
"123" 40 2 0.909700810909271 0.657684665226782 0.0881295896328294
"124" 0 3 0.817859768867493 0.390613390928726 -0.178941684665227
"125" 1 3 0.860808134078979 0.42229373650108 -0.147261339092873
"126" 2 3 0.88524454832077 0.443874730021598 -0.125680345572354
"127" 3 3 0.9036905169487 0.460937365010799 -0.108617710583153
"128" 4 3 0.924284875392914 0.479473002159827 -0.0900820734341253
"129" 5 3 0.94153368473053 0.492021598272138 -0.0775334773218143
"130" 6 3 0.950611710548401 0.505261339092873 -0.0642937365010799
"131" 7 3 0.95513391494751 0.516311015118791 -0.0532440604751619
"132" 8 3 0.973268389701843 0.527507559395248 -0.0420475161987041
"133" 9 3 0.97882342338562 0.536116630669546 -0.0334384449244061
"134" 10 3 0.991332709789276 0.544652267818575 -0.0249028077753779
"135" 11 3 0.978178203105927 0.553913606911447 -0.0156414686825054
"136" 12 3 0.971469938755035 0.56192656587473 -0.00762850971922246
"137" 13 3 0.966864049434662 0.568565874730022 -0.000989200863930839
"138" 14 3 0.965125143527985 0.574125269978402 0.00457019438444928
"139" 15 3 0.96113532781601 0.580069114470842 0.0105140388768898
"140" 16 3 0.952280223369598 0.584401727861771 0.0148466522678186
"141" 17 3 0.95055079460144 0.589019438444924 0.019464362850972
"142" 18 3 0.945986986160278 0.594578833693305 0.0250237580993521
"143" 19 3 0.941735506057739 0.598760259179266 0.0292051835853132
"144" 20 3 0.939027667045593 0.603490280777538 0.0339352051835853
"145" 21 3 0.939595639705658 0.607887688984881 0.0383326133909287
"146" 22 3 0.939767420291901 0.613317494600432 0.0437624190064795
"147" 23 3 0.942392289638519 0.617451403887689 0.0478963282937365
"148" 24 3 0.939222753047943 0.620786177105832 0.051231101511879
"149" 25 3 0.932340502738953 0.625066954643628 0.055511879049676
"150" 26 3 0.929227471351624 0.628708423326134 0.0591533477321814
"151" 27 3 0.924402892589569 0.632462203023758 0.0629071274298056
"152" 28 3 0.921832084655762 0.636 0.0664449244060475
"153" 29 3 0.918449580669403 0.639991360691145 0.0704362850971922
"154" 30 3 0.919489443302155 0.643222462203024 0.0736673866090712
"155" 31 3 0.919317960739136 0.646548596112311 0.0769935205183585
"156" 32 3 0.917693376541138 0.64941252699784 0.0798574514038877
"157" 33 3 0.914650619029999 0.652803455723542 0.0832483801295897
"158" 34 3 0.911791503429413 0.655641468682505 0.0860863930885529
"159" 35 3 0.91193413734436 0.658872570194384 0.089317494600432
